image,link,measure,name,old_price,price,sale
https://d3r3h30p75xj6a.cloudfront.net/artikelen/79683_1_395390_638112762402085898.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/chocomel-chocolademelk-0/40807,1 liter,Chocomel Chocolademelk 0%,2.19,1.19,ACTIE
https://d3r3h30p75xj6a.cloudfront.net/artikelen/59133_1_408980_637856410935928876.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/lactosevrije-zuivel/oatly-haverdrank-bio-plantaardig/63290,1 liter,OATLY Haverdrank bio plantaardig,,2.29,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/79682_1_332112_638112762235312294.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/chocomel-chocolademelk-halfvol/5203,1 liter,Chocomel Chocolademelk halfvol,1.85,1.19,ACTIE
https://d3r3h30p75xj6a.cloudfront.net/artikelen/62224_1_418480_637558182154522797.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/yoghurt-kwark-pap/pur-natur-standyoghurt-vol/65392,750 g,Pur Natur Standyoghurt vol,,2.59,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/119261_1_420620_637974756204982739.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/eieren/natuurfarm-biologische-eieren-s-m-l-xl/67532,6 Stuks,Natuurfarm Biologische eieren s/m/l/xl,,3.29,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/87147_1_431575_637885548888325881.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/kaas-gesneden/bio-biologische-goudse-jonge-kaas-plakken-50+/75009,190 g,Bio+ Biologische goudse jonge kaas plakken 50+,,2.99,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/99326_1_427453_637781130697117845.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/yoghurt-kwark-pap/bio-yoghurt-halfvol/71912,1 liter,Bio+ Yoghurt halfvol,,1.39,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/77172_1_420994_638052409145420624.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/yoghurt-kwark-pap/arla-halfvolle-yoghurt-vanille/67617,1 liter,Arla Halfvolle yoghurt vanille,,2.09,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/99327_1_427454_637781130704135363.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/yoghurt-kwark-pap/bio-volle-yoghurt/71969,1 liter,Bio+ Volle yoghurt,,1.45,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/128765_1_429620_637952032126651295.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/lactosevrije-zuivel/bio-biologische-amandeldrink-ongezoet-plantaardig/73890,1 liter,Bio+ Biologische amandeldrink ongezoet plantaardig,,1.49,
